player_id,full_name,country,batting_style_raw,batting_hand,bowling_style_raw,bowling_hand,bowling_style
3145,AI Mohammad Moniruzzaman,Bangladesh,Right hand Bat,Right,,,
2602,Aamer Hanif,,,,,,
1068,Aamer Malik,Pakistan,Right hand Bat,Right,Right arm Fast Medium,Right,Fast Medium
4480,Aamer Yamin,Pakistan,Right hand Bat,Right,Right arm Medium,Right,Medium
1259,Aamir Nazir,,,,,,
1653,Aamir Sohail,,,,,,
869,Aaqib Javed,Pakistan,Right hand Bat,Right,Right arm Fast Medium,Right,Fast Medium
4808,Aarif Sheikh,Nepal,Right hand Bat,Right,Right arm Medium,Right,Medium
3845,Aaron Finch,,,,,,
7448,Aaron Hardie,,,,,,
7002,Aaron Johnson,Canada,Right hand Bat,Right,Right arm Off Break,Right,Off Break
4957,Aaron Jones,United States of America,Right hand Bat,Right,Leg Break Googly,,Leg Break Googly
3990,Aaron Phangiso,,,,,,
3547,Aaron Redmond,,,,,,
2009,Aashish Kapoor,,,,,,
2741,Aasif Karim,,,,,,
5987,Aasif Sheikh,Nepal,Right hand Bat,Right,,,
3106,Aavishkar Salvi,,,,,,
6923,Aayan Afzal Khan,United Arab Emirates,Right hand Bat,Right,Slow Left arm Orthodox,Left,Orthodox
3099,Abdool Samad,,,,,,
3026,Abdul Hannan Sarkar,Bangladesh,Right hand Bat,Right,Right arm Medium,Right,Medium
3503,Abdul Jabbar Chaudrey,Canada,Right hand Bat,Right,Right arm Medium,Right,Medium
1408,Abdul Qadir,Saudi Arabia,,,,,
7367,Abdul Rahman Bhadelia,Singapore,Right hand Bat,Right,,,
2191,Abdul Razzaq,Pakistan,Right hand Bat,Right,Right arm Fast Medium,Right,Fast Medium
3200,Abdul Rehman,United Arab Emirates,Right hand Bat,Right,,,
3827,Abdullah Mazari,Afghanistan,Left hand Bat,Left,Slow Left arm Orthodox,Left,Orthodox
5921,Abdullah Shafique,Pakistan,Right hand Bat,Right,Right arm Off Break,Right,Off Break
3526,Abdur Rauf Khan,Pakistan,Right hand Bat,Right,Right arm Fast Medium,Right,Fast Medium
3180,Abdur Razzak,Bangladesh,Left hand Bat,Left,Slow Left arm Orthodox,Left,Orthodox
3446,Abdur Rehman,Pakistan,Left hand Bat,Left,Slow Left arm Orthodox,Left,Orthodox
3581,Abdus Sami Faridi,Canada,Right hand Bat,Right,Left arm Wrist Spin (Chinaman),Left,Wrist Spin (Chinaman)
2094,Abey Kuruvilla,India,Right hand Bat,Right,Right arm Fast Medium,Right,Fast Medium
3110,Abhijit Kale,,,,,,
3767,Abhimanyu Mithun,India,Right hand Bat,Right,Right arm Medium,Right,Medium
3704,Abhishek Nayar,,,,,,
6179,Abhishek Paradkar,,,,,,
4992,Abid Ali,Pakistan,Right hand Bat,Right,Leg Break,,Leg Break
4846,Abinash Bohara,Nepal,Right hand Bat,Right,Right arm Medium,Right,Medium
3241,Abraham Benjamin de Villiers,South Africa,Right hand Bat,Right,Right arm Medium,Right,Medium
4515,Abu Hider Rony,Bangladesh,Right hand Bat,Right,Left arm Fast Medium,Left,Fast Medium
4738,Abu Jayed Chowdhury,Bangladesh,Right hand Bat,Right,Right arm Fast Medium,Right,Fast Medium
2086,Adam Bacher,,,,,,
2140,Adam Dale,,,,,,
2192,Adam Gilchrist,,,,,,
2105,Adam Hollioake,,,,,,
2109,Adam Huckle,,,,,,
3839,Adam Milne,,,,,,
1334,Adam Parore,,,,,,
3463,Adam Voges,,,,,,
4527,Adam Zampa,Australia,Right hand Bat,Right,Leg Break Googly,,Leg Break Googly
7238,Adeel Shafique,,,,,,
7303,Adhitya Shetty,United Arab Emirates,Right hand Bat,Right,Leg Break Googly,,Leg Break Googly
3696,Adil Rashid,,,,,,
7442,Adithya Ashok,New Zealand,Right hand Bat,Right,,,
3835,Adnan Akmal,Pakistan,Right hand Bat,Right,,,
4640,Adnan Mufti,United Arab Emirates,Left hand Bat,Left,Right arm Medium,Right,Medium
3739,Adrian Barath,,,,,,
2088,Adrian Griffith,,,,,,
958,Adrian Kuiper,,,,,,
4923,Adrian Neill,Scotland,Right hand Bat,Right,Right arm Medium,Right,Medium
4734,Afif Hossain Dhrubo,Bangladesh,Left hand Bat,Left,Right arm Off Break,Right,Off Break
4245,Afsar Khan Zazai,Afghanistan,Right hand Bat,Right,,,
3224,Aftab Ahmed Chowdhury,Bangladesh,Right hand Bat,Right,Right arm Medium,Right,Medium
3762,Aftab Alam,Afghanistan,Right hand Bat,Right,Right arm Medium Fast,Right,Medium Fast
3506,Aftabodeen Shamsuden,,,,,,
4854,Ahmad Fayyaz Butt,Oman,Right hand Bat,Right,Right arm Medium Fast,Right,Medium Fast
2605,Ahmed Kamal,,,,,,
4258,Ahmed Raza,United Arab Emirates,Right hand Bat,Right,Slow Left arm Orthodox,Left,Orthodox
3726,Ahmed Shah Ahmedzi,Afghanistan,Left hand Bat,Left,Slow Left arm Orthodox,Left,Orthodox
3675,Ahmed Shehzad,Pakistan,Right hand Bat,Right,Leg Break,,Leg Break
4701,Aiden Markram,,,,,,
3218,Aijaz Ali,United States of America,Right hand Bat,Right,Right arm Medium Fast,Right,Medium Fast
5249,Ainsley Ndlovu,Zimbabwe,Right hand Bat,Right,Slow Left arm Orthodox,Left,Orthodox
3890,Aizaz Bin Ilyas Cheema,Pakistan,Right hand Bat,Right,Right arm Medium Fast,Right,Medium Fast
4275,Aizaz Mohammad Khan,Hong Kong,Right hand Bat,Right,Right arm Medium Fast,Right,Medium Fast
3545,Ajantha Mendis,,,,,,
854,Ajay Jadeja,,,,,,
3009,Ajay Ratra,India,Right hand Bat,Right,Right arm Medium,Right,Medium
1560,Ajay Sharma,,,,,,
3889,Ajinkya Rahane,,,,,,
2159,Ajit Agarkar,,,,,,
2933,Ajith Weerakkody,,,,,,
3765,Ajmal Shahzad,England,Right hand Bat,Right,Right arm Fast Medium,Right,Fast Medium
2962,Akalanka Ganegarma,,,,,,
5935,Akeal Hosein,,,,,,
7302,Akeem Jordan,West Indies,Right hand Bat,Right,Right arm Fast Medium,Right,Fast Medium
2606,Akhtar Sarfraz,,,,,,
3973,Akila Dananjaya,,,,,,
5760,Akshay Homraj,United States of America,Right hand Bat,Right,,,
4247,Al-Amin Hossain,Bangladesh,Right hand Bat,Right,Right arm Medium Fast,Right,Medium Fast
2607,Alam Talukdar,,,,,,
2663,Alan Dawson,,,,,,
817,Alan G Hurst,,Right Handed,Right,Right arm Fast,Right,Fast
832,Alan Igglesden,,,,,,
2036,Alan Lock,,,,,,
2056,Alan Mullally,,,,,,
265,Alan R Butcher,,Left Handed,Left,Left arm Medium,Left,Medium
2029,Alan Wells,,,,,,
3707,Alasdair Evans,,,,,,
3349,Alastair Cook,,,,,,
3570,Alawi Shukri Al Braik,United Arab Emirates,Left hand Bat,Left,Right arm Off Break,Right,Off Break
3814,Albert van der Merwe,Ireland,Right hand Bat,Right,Right arm Off Break,Right,Off Break
3162,Albie Morkel,,,,,,
2919,Aldesh Vadher,,,,,,
2661,Alec Davies,,,,,,
1680,Alec Stewart,,,,,,
4676,Alei Nao,Papua New Guinea,Right hand Bat,Right,Right arm Medium,Right,Medium
3154,Alester Maregwede,Zimbabwe,Right hand Bat,Right,,,
4726,Alex Carey,,,,,,
3475,Alex Cusack,,,,,,
3887,Alex Hales,,,,,,
3509,Alex Obanda,,,,,,
2908,Alex Tait,,,,,,
2155,Alex Tudor,,,,,,
3183,Alexander French,,,,,,
3397,Alexander Loudon,,,,,,
3209,Alexander Wharf,,,,,,
3408,Alexei Kervezee,,,,,,
3103,Alfred Luseno,,,,,,
7300,Ali Aamer Naseer,United Arab Emirates,Left hand Bat,Left,,,
3201,Ali Asad Abbas,United Arab Emirates,Right hand Bat,Right,Right arm Fast Medium,Right,Fast Medium
1558,Ali Omarshah,,,,,,
7307,Alick Athanaze,West Indies,Left hand Bat,Left,Right arm Off Break,Right,Off Break
5799,Alishan Sharafu,United Arab Emirates,Right hand Bat,Right,Right arm Medium,Right,Medium
2642,Alistair Brown,,,,,,
289,Alistair Campbell,,,,,,
458,Allan Donald,,,,,,
971,Allan Lamb,,,,,,
209,Allan R Border,,Left Handed,Left,Slow Left arm Orthodox,Left,Orthodox
3031,Alok Kapali,Bangladesh,Right hand Bat,Right,Leg Break,,Leg Break
903,Alvin I Kallicharran,,Left Handed,Left,Right arm Off Break,Right,Off Break
3437,Alviro Petersen,,,,,,
4575,Alzarri Joseph,,,,,,
1594,Amal Silva,,,,,,
2747,Amay Khurasiya,,,,,,
4069,Ambati Rayudu,,,,,,
2611,Aminul Islam Jnr,,,,,,
3935,Amir Hamza Hotak,Afghanistan,Right hand Bat,Right,Slow Left arm Orthodox,Left,Orthodox
4727,Amir Hayat,United Arab Emirates,Right hand Bat,Right,Right arm Medium,Right,Medium
2632,Amit Bhandari,India,Right hand Bat,Right,Right arm Fast Medium,Right,Fast Medium
3108,Amit Mishra,India,Right hand Bat,Right,Right arm Medium,Right,Medium
3553,Amjad Ali,United Arab Emirates,Left hand Bat,Left,Leg Break,,Leg Break
3554,Amjad Javed,United Arab Emirates,Right hand Bat,Right,Right arm Medium,Right,Medium
396,Anderson Cummins,,,,,,
1489,Anderson M E Roberts,,Right Handed,Right,Right arm Fast,Right,Fast
5954,Anderson Phillip,West Indies,Right hand Bat,Right,Right arm Fast Medium,Right,Fast Medium
4588,Andile Phehlukwayo,,,,,,
2963,Andre Adams,,,,,,
3382,Andre Botha,,,,,,
3562,Andre Fletcher,,,,,,
4797,Andre McCarthy,,,,,,
2970,Andre Nel,South Africa,Right hand Bat,Right,Right arm Fast Medium,Right,Fast Medium
3836,Andre Russell,,,,,,
3809,Andrew Balbirnie,,Right Handed,Right,Right arm Off Break,Right,Off Break
3715,Andrew Britton,,,,,,
3931,Andrew Ellis,,,,,,
2148,Andrew Flintoff,England,Right hand Bat,Right,Right arm Fast Medium,Right,Fast Medium
2710,Andrew Hall,,,,,,
809,Andrew Hudson,,,,,,
885,Andrew Jones,,,,,,
761,Andrew M J Hilditch,,Right Handed,Right,,,
4439,Andrew Mathieson,,,,,,
3758,Andrew McKay,,,,,,
2822,Andrew Penn,,,,,,
3585,Andrew Poynter,,,,,,
3328,Andrew Puttick,,,,,,
1407,Andrew Pycroft,,,,,,
3148,Andrew Strauss,,,,,,
2907,Andrew Symonds,Australia,Right hand Bat,Right,"Right arm Medium, Right arm Off Break",Right,Medium
4383,Andrew Tye,,,,,,
2084,Andrew Waller,,,,,,
3392,Andrew White,,,,,,
2066,Andrew Whittall,,,,,,
4360,Andri Berenger,,,,,,
3070,Andries Burger,,,,,,
2954,Andris Zesers,,,,,,
2089,Andy Bichel,,,,,,
2637,Andy Blignaut,,,,,,
278,Andy Caddick,,,,,,
549,Andy Flower,,,,,,
