interval,player_id,player_name,teams,country,matches_played,batting_innings,runs,balls_faced,fours,sixes,avg_runs_per_game,batting_strike_rate,bowling_innings,balls_bowled,overs_bowled_equivalent,maidens,runs_conceded,wickets,bowling_economy,bowling_strike_rate,batting_hand,batting_style_raw,bowling_hand,bowling_style,bowling_style_raw
1979-1983,1408,Abdul Qadir,Pakistan,Saudi Arabia,6,5,62,105,2,1,10.33,59.05,6,406,67.67,6,264,12,3.9,33.83,,,,,
1979-1983,817,Alan G Hurst,Australia,,7,3,6,16,0,0,0.86,37.5,6,302,50.33,11,176,10,3.5,30.2,Right,Right Handed,Right,Fast,Right arm Fast
1979-1983,265,Alan R Butcher,England,,1,1,14,26,1,0,14.0,53.85,0,0,,0,0,0,,,Left,Left Handed,Left,Medium,Left arm Medium
1979-1983,1558,Ali Omarshah,Zimbabwe,,3,3,26,109,1,0,8.67,23.85,2,45,7.5,1,40,1,5.33,45.0,,,,,
1979-1983,971,Allan Lamb,England,,24,23,927,1200,93,8,38.62,77.25,0,0,,0,0,0,,,,,,,
1979-1983,209,Allan R Border,Australia,,74,68,1647,2479,134,7,22.26,66.44,16,510,85.0,4,428,9,5.04,56.67,Left,Left Handed,Left,Orthodox,Slow Left arm Orthodox
1979-1983,903,Alvin I Kallicharran,West Indies,,20,17,448,749,27,0,22.4,59.81,4,105,17.5,3,64,3,3.66,35.0,Left,Left Handed,Right,Off Break,Right arm Off Break
1979-1983,1489,Anderson M E Roberts,West Indies,,45,27,194,281,9,3,4.31,69.04,45,2511,418.5,60,1451,70,3.47,35.87,Right,Right Handed,Right,Fast,Right arm Fast
1979-1983,761,Andrew M J Hilditch,Australia,,4,4,153,306,10,0,38.25,50.0,0,0,,0,0,0,,,Right,Right Handed,,,
1979-1983,1407,Andrew Pycroft,Zimbabwe,,6,6,71,175,4,0,11.83,40.57,0,0,,0,0,0,,,,,,,
1979-1983,2810,Antony R M Opatha,Sri Lanka,,2,1,18,27,2,0,9.0,66.67,2,103,17.17,1,62,3,3.61,34.33,Right,Right Handed,Right,Medium,Right arm Medium
1979-1983,2912,Anura P B Tennekoon,Sri Lanka,,1,1,59,96,6,0,59.0,61.46,0,0,,0,0,0,,,Right,Right Handed,Left,Orthodox,Slow Left arm Orthodox
1979-1983,1432,Anura Ranasinghe,Sri Lanka,,6,5,130,104,5,3,21.67,125.0,6,264,44.0,3,216,2,4.91,132.0,,,,,
1979-1983,1433,Arjuna Ranatunga,Sri Lanka,Sri Lanka,14,12,213,267,17,2,15.21,79.78,13,553,92.17,3,492,6,5.34,92.17,Left,Left hand Bat,Right,Medium,Right arm Medium
1979-1983,970,Arun Lal,India,,5,5,31,62,1,1,6.2,50.0,0,0,,0,0,0,,,,,,,
1979-1983,427,Ashantha De Mel,Sri Lanka,,21,16,216,303,10,0,10.29,71.29,21,1056,176.0,24,791,33,4.49,32.0,,,,,
1979-1983,1067,Ashok Malhotra,India,,12,12,332,412,20,0,27.67,80.58,1,6,1.0,1,0,0,0.0,,,,,,
1979-1983,37,Ashraf Ali,Pakistan,Pakistan,8,5,33,70,1,0,4.12,47.14,0,0,,0,0,0,,,Right,Right hand Bat,,,
1979-1983,842,Asif Iqbal Razvi,Pakistan,Pakistan,4,3,129,181,13,0,32.25,71.27,4,282,47.0,5,157,9,3.34,31.33,Right,Right hand Bat,Right,Medium,Right arm Medium
1979-1983,1762,Athanasios Traicos,Zimbabwe,,6,4,25,43,1,0,4.17,58.14,5,336,56.0,4,178,4,3.18,84.0,,,,,
